	PID/THRD  SYSCALL(args) 		 = return
95400/0x2394fc:  fork()		 = 0 Err#1
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D3B, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D3B, 0x0)		 = 90926395 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04B4B30)		 = 90926396 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0x5F38005904E86BAA, 0x82C90E14D94539A9, 0x19FCCF000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D3C, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D3C, 0x0)		 = 90926396 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04B5018)		 = 90926397 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0xA43FDD6DD27C43CB, 0x877F24A5939A588, 0x19FDC8000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D3D, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D3D, 0x0)		 = 90926397 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04B3EF8)		 = 90926398 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0x9831C9D5F1699108, 0x3F04059864FE1892, 0x19FB84000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D3E, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D3E, 0x0)		 = 90926398 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04CE7B0)		 = 90926399 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0xB30DD7FF7E850BE, 0xD6A84A5A25AA76A2, 0x1AFAB2000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D3F, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D3F, 0x0)		 = 90926399 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04CD118)		 = 90926400 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0x2B3B0D8DB47F5680, 0x1546CBAC35225F81, 0x1AFA5A000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D40, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D40, 0x0)		 = 90926400 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04C9850)		 = 90926401 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0xE83374771BD9DB7C, 0xB43CABB30E054CAC, 0x1AED37000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D41, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D41, 0x0)		 = 90926401 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04CE580)		 = 90926402 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0x33E250472CAEF5B, 0x8FB0819B5479F09D, 0x1AFAAF000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D42, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D42, 0x0)		 = 90926402 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04BC158)		 = 90926403 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0xC33E0EB61ADFB83, 0xA4C64831D31C3D86, 0x1A672C000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D43, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D43, 0x0)		 = 90926403 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04B43A8)		 = 90926404 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0xD03A9732D7F7B2C7, 0xECFA72117111E994, 0x19FC54000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D44, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D44, 0x0)		 = 90926404 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04B5500)		 = 90926405 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0xBF3BD67BF9B8DC32, 0xB2D2933C3D91E580, 0x19FE12000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D45, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D45, 0x0)		 = 90926405 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04CE0F0)		 = 90926406 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0xDE3E4329FC08CF8B, 0x3A2A98C3234F6193, 0x1AFAA6000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D46, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D46, 0x0)		 = 90926406 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04C6AA0)		 = 90926407 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0xF733B6E07E21C72C, 0xC6E3FD7BF1383EB4, 0x1AD7B4000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D47, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D47, 0x0)		 = 90926407 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04C45C8)		 = 90926408 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0xCD37B387F8F972E4, 0x61A53466C3D4984, 0x1AC254000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D48, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D48, 0x0)		 = 90926408 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04CBD50)		 = 90926409 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0x61337836D849309D, 0x7DDFACCC959060A9, 0x1AF4C6000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D49, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D49, 0x0)		 = 90926409 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04B9248)		 = 90926410 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0xBB33C582D2F7245B, 0x50CD8F6F2F92209A, 0x1A3F3F000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D4A, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D4A, 0x0)		 = 90926410 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F06EA388)		 = 90926411 0
